161,29.4,35.9,24.8,27.3
162,27.1,35,23.5,28.5
163,23.8,34.3,23,24.6
164,26.6,34.5,23.3,24.6
165,22.8,35.6,24.8,29.8
166,24.8,38,23.8,28.5
167,22.3,36.5,23.1,27.9
168,21.3,34.7,22.9,27.1
169,22.7,29.3,22.8,26.7
170,23.6,29.9,23.2,26.6
171,22.5,29.2,23.2,26.6
172,20.9,24,24.2,29.5
173,21.8,34.1,25.4,30.4
174,24.2,34.2,24.9,30.1
175,22.8,33.9,25.1,30.1
176,25.7,33,24.7,29.5
177,22.2,33.1,24,28.5
178,23.1,33.3,24.9,28.3
179,22.5,32.6,24.1,28.3
180,22.4,32.5,23.8,28.5
181,22.6,28.9,23.6,28.4
182,16.4,27.1,24.4,28.8
183,22.5,28.4,25.5,29.8
184,20.8,32.8,25.5,29.9
185,21.6,32.5,25.7,29.6
186,24.1,35.9,24.9,29.6
187,22.7,35.5,24.1,28.3
188,26.6,36.2,23.7,28
189,22.5,35.3,23.8,28.2
190,18.8,34.1,23.5,27.7
191,19,32,22.8,28
192,21.5,34.1,23.3,28.6
193,20.9,31.7,24.8,30.1
194,23,31.7,25.6,30.8
195,23.9,36,26.1,30.4
196,25,37.1,25.9,30.8
197,22.7,37.2,25.9,30.7
198,22.5,35.9,26.2,30.4
199,19.6,33.9,26.1,30.7
200,21.5,33.2,26.6,30.7
201,20.8,33.8,26.4,30.7
202,23,36.3,25.7,30.2
203,20.3,36.9,25.3,30.8
204,20.9,34.7,24.8,30.3
205,21.6,35.4,23.5,28.8
206,20.3,34.6,23.8,29.5
207,16,28.6,22.4,29.1
208,17.5,29.7,24.8,29.6
209,18.5,30,23,29.5
210,22,33,26.2,30.4
211,19.2,33,25.9,30.7
212,17.2,33.1,25.4,29.6
213,20.5,32,24.7,29.6
214,15.2,31.3,22.9,29.4
215,18.8,32.7,23.2,27.6
216,21.4,32.2,24.9,30.6
217,20.6,31,25.9,30.5
218,14.2,30.2,25.3,29.9
219,12.6,29.4,25.6,30.4
220,12.8,27.5,24.7,30.7
221,13,27.5,23.6,28.2
222,18.5,27.5,23.7,28.2
223,22,30.6,23.2,29.5
224,16.9,29.8,21.7,27.2
225,17.2,27.4,23,26.8
226,16.5,26.4,22.8,30.8
227,20.2,26.4,24,30.5
228,19.2,31.8,22.5,29.5
229,16.3,31.2,22.5,29.1
230,11.1,27.3,22.7,30
